player,runs,balls,boundary_fours,boundary_sixes,strike_rate,team,opposition,ground,match_date
Karan KC,28,10,2,2,280.00,Kathmandu,v Karnali,Kirtipur,04 Dec 2024
JDS Neesham,65,24,5,6,270.83,Janakpur,v Chitwan,Kirtipur,14 Dec 2024
JDS Neesham,45,17,2,5,264.70,Janakpur,v Karnali,Kirtipur,19 Dec 2024
MG Erasmus,25*,10,1,3,250.00,Kathmandu,v Pokhara,Kirtipur,14 Dec 2024
DS Airee,57*,24,3,5,237.50,S Paschim,v Biratnagar,Kirtipur,03 Dec 2024
Sompal Kami,29*,13,3,1,223.07,Karnali,v Janakpur,Kirtipur,02 Dec 2024
AGS Gous,25,12,4,1,208.33,Pokhara,v Karnali,Kirtipur,10 Dec 2024
DS Airee,39*,19,4,2,205.26,S Paschim,v Lumbini,Kirtipur,07 Dec 2024
CAK Walton,46*,23,4,3,200.00,Karnali,v Chitwan,Kirtipur,18 Dec 2024
JDS Neesham,40*,20,-,5,200.00,Janakpur,v Pokhara,Kirtipur,05 Dec 2024
RS Bopara,36,18,2,2,200.00,Chitwan,v S Paschim,Kirtipur,08 Dec 2024
JDS Neesham,45,23,3,3,195.65,Janakpur,v S Paschim,Kirtipur,18 Dec 2024
MA Leask,25,13,-,3,192.30,Pokhara,v Janakpur,Kirtipur,05 Dec 2024
AGS Gous,104*,55,12,5,189.09,Pokhara,v Lumbini,Kirtipur,06 Dec 2024
M Levitt,32,18,6,1,177.77,Kathmandu,v Pokhara,Kirtipur,14 Dec 2024
BKEL Milantha,87,49,9,4,177.55,Janakpur,v S Paschim,Kirtipur,21 Dec 2024
SS Eskinazi,60,34,10,-,176.47,Kathmandu,v Pokhara,Kirtipur,14 Dec 2024
TJ Moores,30,17,1,3,176.47,Lumbini,v Biratnagar,Kirtipur,04 Dec 2024
Kushal Malla,72,41,3,7,175.60,Chitwan,v Janakpur,Kirtipur,14 Dec 2024
Basir Ahamad,40,23,4,1,173.91,Biratnagar,v Lumbini,Kirtipur,04 Dec 2024
Aasif Sheikh,33,19,4,2,173.68,Janakpur,v S Paschim,Kirtipur,21 Dec 2024
DS Airee,43,25,3,2,172.00,S Paschim,v Kathmandu,Kirtipur,05 Dec 2024
AGS Gous,36,21,4,2,171.42,Pokhara,v S Paschim,Kirtipur,15 Dec 2024
Kushal Malla,38,23,1,4,165.21,Chitwan,v Pokhara,Kirtipur,03 Dec 2024
RP Magar,33*,20,1,3,165.00,Biratnagar,v Chitwan,Kirtipur,13 Dec 2024
MJ Guptill,28,17,6,-,164.70,Biratnagar,v Lumbini,Kirtipur,04 Dec 2024
Lokesh Bam,26,16,2,2,162.50,Biratnagar,v Pokhara,Kirtipur,12 Dec 2024
RK Paudel,95,59,10,4,161.01,Lumbini,v Pokhara,Kirtipur,06 Dec 2024
SA Zaib,69,43,8,2,160.46,S Paschim,v Janakpur,Kirtipur,21 Dec 2024
JDS Neesham,27,17,1,3,158.82,Janakpur,v Kathmandu,Kirtipur,12 Dec 2024
RK Paudel,46,29,4,2,158.62,Lumbini,v Biratnagar,Kirtipur,04 Dec 2024
CAK Walton,30,19,-,3,157.89,Karnali,v Chitwan,Kirtipur,06 Dec 2024
M Levitt,25,16,4,1,156.25,Kathmandu,v Chitwan,Kirtipur,02 Dec 2024
RS Bopara,53,34,3,4,155.88,Chitwan,v Karnali,Kirtipur,18 Dec 2024
Basir Ahamad,68*,44,4,4,154.54,Biratnagar,v Chitwan,Kirtipur,13 Dec 2024
SA Zaib,32,21,3,2,152.38,S Paschim,v Janakpur,Kirtipur,18 Dec 2024
D Kharel,38,25,6,1,152.00,Pokhara,v Kathmandu,Kirtipur,14 Dec 2024
Lokesh Bam,71,47,3,6,151.06,Biratnagar,v Lumbini,Kirtipur,04 Dec 2024
A Gharti,33,22,2,2,150.00,Karnali,v Janakpur,Kirtipur,02 Dec 2024
Saad Bin Zafar,52,35,4,1,148.57,Lumbini,v Chitwan,Kirtipur,10 Dec 2024
RA Reifer,34*,23,3,2,147.82,Pokhara,v Biratnagar,Kirtipur,12 Dec 2024
AK Sah,62*,42,6,3,147.61,Janakpur,v Karnali,Kirtipur,02 Dec 2024
SA Zaib,90,61,6,5,147.54,S Paschim,v Lumbini,Kirtipur,07 Dec 2024
RS Bopara,59*,40,7,1,147.50,Chitwan,v Karnali,Kirtipur,06 Dec 2024
Hassan Eisakhil,28,19,4,1,147.36,Chitwan,v Janakpur,Kirtipur,14 Dec 2024
B McMullen,53,36,3,4,147.22,S Paschim,v Kathmandu,Kirtipur,05 Dec 2024
WG Bosisto,44,30,3,3,146.66,Karnali,v Lumbini,Kirtipur,13 Dec 2024
AS Routela,42,29,3,2,144.82,Chitwan,v Biratnagar,Kirtipur,13 Dec 2024
AGS Gous,39,27,7,-,144.44,Pokhara,v Biratnagar,Kirtipur,12 Dec 2024
B Yadav,77*,54,3,7,142.59,Lumbini,v S Paschim,Kirtipur,07 Dec 2024
BKEL Milantha,75*,53,9,3,141.50,Janakpur,v Biratnagar,Kirtipur,30 Nov 2024
S Dhawan,72*,51,4,5,141.17,Karnali,v Kathmandu,Kirtipur,04 Dec 2024
BKEL Milantha,45,32,8,-,140.62,Janakpur,v Pokhara,Kirtipur,05 Dec 2024
RK Paudel,80,57,6,5,140.35,Lumbini,v Chitwan,Kirtipur,10 Dec 2024
B McMullen,36,26,2,2,138.46,S Paschim,v Biratnagar,Kirtipur,03 Dec 2024
RS Bopara,44,32,5,1,137.50,Chitwan,v Janakpur,Kirtipur,14 Dec 2024
D Kharel,26,19,4,1,136.84,Pokhara,v Karnali,Kirtipur,10 Dec 2024
RA Reifer,41*,30,1,3,136.66,Pokhara,v Kathmandu,Kirtipur,14 Dec 2024
JA Kolsawala,53,39,6,2,135.89,Karnali,v Chitwan,Kirtipur,18 Dec 2024
MG Erasmus,38,28,3,2,135.71,Kathmandu,v Karnali,Kirtipur,04 Dec 2024
TJ Moores,31,23,2,1,134.78,Lumbini,v Janakpur,Kirtipur,08 Dec 2024
WG Bosisto,66,49,5,3,134.69,Karnali,v Biratnagar,Kirtipur,07 Dec 2024
RS Bopara,51,38,3,3,134.21,Chitwan,v Pokhara,Kirtipur,03 Dec 2024
WG Bosisto,52,39,3,2,133.33,Karnali,v Chitwan,Kirtipur,18 Dec 2024
Gulsan Jha,36,27,1,3,133.33,Karnali,v Janakpur,Kirtipur,02 Dec 2024
D Kharel,61*,46,4,4,132.60,Pokhara,v Lumbini,Kirtipur,06 Dec 2024
Gulsan Jha,49*,37,3,4,132.43,Karnali,v Pokhara,Kirtipur,10 Dec 2024
B Bhandari,41,31,1,3,132.25,S Paschim,v Janakpur,Kirtipur,21 Dec 2024
B McMullen,25,19,1,1,131.57,S Paschim,v Janakpur,Kirtipur,18 Dec 2024
DS Airee,38,29,4,1,131.03,S Paschim,v Karnali,Kirtipur,16 Dec 2024
SA Edwards,45,35,5,-,128.57,Biratnagar,v Pokhara,Kirtipur,12 Dec 2024
