wicketes,runs,partners,team,opposition,ground,match_date
1st,176*,"D Kharel, AGS Gous",Pokhara,v Lumbini,Kirtipur,6 Dec 2024
2nd,86,"B McMullen, B Bhandari",S Paschim,v Kathmandu,Kirtipur,5 Dec 2024
3rd,116*,"H Thaker, BKEL Milantha",Janakpur,v Biratnagar,Kirtipur,30 Nov 2024
4th,113,"Kushal Malla, RS Bopara",Chitwan,v Janakpur,Kirtipur,14 Dec 2024
5th,114,"Saad Bin Zafar, RK Paudel",Lumbini,v Chitwan,Kirtipur,10 Dec 2024
6th,83*,"RP Magar, Basir Ahamad",Biratnagar,v Chitwan,Kirtipur,13 Dec 2024
7th,56,"Sompal Kami, A Gharti",Karnali,v Janakpur,Kirtipur,2 Dec 2024
8th,32,"Surya Tamang, S Jora",Lumbini,v Kathmandu,Kirtipur,11 Dec 2024
9th,39*,"NB Sarki, R Dhakal",Chitwan,v Lumbini,Kirtipur,10 Dec 2024
10th,23,"CB Sole, A Kharel",Biratnagar,v S Paschim,Kirtipur,3 Dec 2024
